CY_Qtr,STATE,Facility_Count,Census,Total_Nurse_HPRD,Nurse_Care_HPRD,Total_RN_HPRD,Direct_Care_RN_HPRD,Contract_Percentage,State_Census
2017Q1,AK,10,46.07555555555555,6.609886177293333,5.954250265264783,1.7644299218674642,1.1261748818365969,0.46506959754214144,460.75555555555553
2017Q2,AK,11,43.387612387612386,6.677981165526928,6.035631000897976,1.8136692684948539,1.1880007368009025,1.9504784654351217,477.26373626373623
2017Q3,AK,12,42.77173913043478,6.517724692926725,5.901318297331639,1.7542674714104196,1.1681012282930963,1.791820018627081,513.2608695652174
2017Q4,AK,13,40.70735785953177,6.64749147598899,5.953441646469211,1.8320328225773321,1.1709185392104506,2.4070280361403054,529.195652173913
2018Q1,AK,10,42.70222222222222,6.469285491257286,5.78635486053289,1.7522361573688594,1.15334382805995,2.166618039720291,427.0222222222222
2018Q2,AK,10,47.98351648351648,6.338054734913546,5.709313637925112,1.763835566242986,1.1749799610672162,1.9353270280782202,479.8351648351648
2018Q3,AK,12,44.23188405797101,6.3068242136304065,5.765793946592399,1.7599289400393183,1.2521776703800787,3.9769417527743496,530.7826086956521
2018Q4,AK,11,45.01383399209487,6.334191069938973,5.792576722131976,1.868062519207973,1.3554004039162313,2.4959128080504116,495.1521739130435
2019Q1,AK,10,49.11888888888889,6.360641979776959,5.8123066482683745,1.8483047933585177,1.3384755807903728,2.6200660135021474,491.1888888888889
2019Q2,AK,9,52.82295482295482,6.249330128056956,5.677783042855162,1.832891914382137,1.2852283759419352,0.8530598554837479,475.4065934065934
2019Q3,AK,10,48.35108695652174,6.318752332351685,5.763746150214688,1.8495231886338601,1.319327383494818,1.2182851208134882,483.51086956521743
2019Q4,AK,9,54.14613526570047,6.145595878036268,5.676551424174158,1.8297573216157739,1.376230678295006,1.4991352887482283,487.31521739130426
2020Q1,AK,10,48.87692307692307,6.385929897927065,5.839484239399255,1.8786298844372498,1.3556902288771977,2.7456877517111633,488.7692307692307
2020Q2,AK,12,42.540293040293044,6.556651095707581,5.983258707538641,1.8961899944030653,1.360601239936281,4.0164432204892035,510.48351648351655
2020Q3,AK,9,49.119565217391305,6.086095006269822,5.656438248383369,1.725533180890561,1.3461665560227187,1.3278318855552134,442.07608695652175
2020Q4,AK,8,50.15625,6.347395096844102,5.86149424353244,1.7993086821075446,1.3580265474739266,2.4579955904487005,401.25
2021Q1,AK,11,42.577777777777776,6.370107705446953,5.828621180489657,1.7289945910039857,1.2313783450370088,8.351483307423953,468.35555555555555
2021Q2,AK,11,47.18581418581418,5.922940105434759,5.443383439544387,1.6571958164842377,1.2014870958863508,7.702182702542835,519.043956043956
2021Q3,AK,10,49.96086956521739,5.611218344791576,5.14468453572361,1.6792550691845791,1.2357919241145245,4.52442992246564,499.60869565217394
2021Q4,AK,12,44.73731884057971,6.266002227171491,5.799516703786192,1.8396440575015183,1.3836551933589798,15.12442974513362,536.8478260869565
2022Q1,AK,14,45.26666666666666,6.040862437758609,5.509026053720457,1.875740409565888,1.3696905463216213,9.682463009433587,633.7333333333332
2022Q2,AK,16,41.456043956043956,5.88620841616965,5.426811961563949,1.7125248508946322,1.2869299204771372,11.800345710455133,663.2967032967033
2022Q3,AK,16,41.172554347826086,5.819559449559449,5.343950598950599,1.6883280533280534,1.2484834834834837,10.599060584651747,658.7608695652174
2022Q4,AK,15,42.092028985507255,5.996670855785289,5.467096080017905,1.8443718904402018,1.346448430802073,10.60368223547063,631.3804347826089
2023Q1,AK,13,48.077777777777776,5.905203818598782,5.415032977191516,1.8075858206965205,1.3583058078967485,10.803245001815615,625.0111111111111
2023Q2,AK,15,43.41098901098901,6.133428682327529,5.640791818550021,1.7759970298366414,1.3422993452139869,10.617378349722216,651.1648351648352
2023Q3,AK,15,40.73115942028985,6.218227152235407,5.726203454962728,1.759456492732481,1.3100604885338647,12.644099986973576,610.9673913043478
2023Q4,AK,17,38.5690537084399,6.369436855541926,5.886472762839429,1.7467683432246939,1.2844081761214812,17.28256183866015,655.6739130434784
2024Q1,AK,15,42.995604395604396,6.25842065804495,5.785552318151615,1.8030942766106086,1.3735981188979196,11.990094213061813,644.934065934066
2024Q2,AK,14,45.49843014128728,6.0124751142931085,5.560953161390496,1.779315276459933,1.3651615630121625,10.229462810467506,636.978021978022
2024Q3,AK,17,40.29092071611253,6.016711100531619,5.624834563199238,1.7708158374990086,1.386428152027295,12.849814865391837,684.945652173913
2024Q4,AK,14,41.33773291925466,6.160524012546251,5.750431042578367,1.8677210149691037,1.457628045001221,12.600913925705596,578.7282608695652
2025Q1,AK,18,40.03641975308641,6.157458332690915,5.76072233614456,1.801975516119583,1.4227814181532248,14.35089750497156,720.6555555555555
2025Q2,AK,19,38.501445922498554,6.016223166939566,5.6491589178145984,1.8772632907209061,1.5360739984076672,12.526076548070787,731.5274725274726
